Comuna,2018,2019,2020,2021,2022,2023,2024,2025
comuna 1,254408,255457,256405,257235,257934,258497,258922,259205
comuna 2,149607,149510,149430,149371,149337,149328,149345,149389
comuna 3,192945,193115,193276,193425,193560,193682,193790,193884
comuna 4,239279,239712,240100,240437,240716,240937,241096,241193
comuna 5,187159,187348,187518,187670,187800,187907,187991,188053
comuna 6,185067,185271,185456,185620,185760,185875,185964,186028
comuna 7,241065,241484,241861,242188,242460,242674,242828,242921
comuna 8,227495,228266,228953,229541,230018,230380,230623,230745
comuna 9,170842,171062,171264,171444,171600,171733,171839,171921
comuna 10,170394,170497,170592,170677,170750,170811,170859,170896
comuna 11,190016,190046,190076,190105,190135,190165,190195,190225
comuna 12,214229,214518,214777,215002,215189,215335,215442,215505
comuna 13,236107,236238,236358,236468,236566,236650,236723,236781
comuna 14,227003,227060,227115,227168,227219,227268,227315,227360
comuna 15,182427,182445,182465,182485,182506,182528,182551,182574
