Departamento,2018,2019,2020,2021,2022,2023,2024,2025
capital,119450,119654,119854,120051,120246,120437,120625,120809
general alvear,50076,50387,50693,50993,51288,51580,51864,52143
godoy cruz,204549,205537,206510,207466,208408,209332,210239,211129
guaymallen,324272,328402,332468,336466,340402,344264,348055,351771
junin,42156,42572,42980,43382,43778,44167,44548,44921
la paz,10718,10775,10831,10886,10940,10993,11046,11097
las heras,230384,233063,235699,238291,240841,243346,245804,248214
lavalle,42785,43418,44040,44653,45255,45847,46428,46997
lujan de cuyo,139297,141325,143320,145283,147214,149110,150970,152795
maipu,196375,198816,201218,203581,205905,208189,210428,212624
malargue,33406,34029,34642,35246,35839,36421,36993,37553
rivadavia,62385,62956,63518,64071,64615,65149,65673,66187
san carlos,38183,38768,39343,39910,40466,41013,41550,42076
san martin,132274,133649,135003,136334,137645,138931,140194,141430
san rafael,209121,211157,213160,215131,217068,218973,220841,222672
santa rosa,17565,17663,17758,17852,17944,18035,18125,18212
tunuyan,58503,59467,60416,61349,62266,63168,64053,64921
tupungato,37794,38344,38885,39418,39941,40456,40960,41455
