UTA_ID,Departamento,2018,2019,2020,2021,2022,2023,2024,2025
46007,arauco,17629,17856,18083,18309,18533,18755,18975,19191
46014,la rioja capital,215513,219320,223101,226872,230610,234308,237966,241574
46021,castro barros,4525,4539,4553,4566,4580,4594,4607,4621
46035,chamical,15442,15554,15664,15775,15884,15994,16100,16206
46042,chilecito,57972,58894,59812,60721,61622,62516,63397,64269
46028,coronel felipe varela,9872,9863,9853,9844,9835,9826,9817,9808
46049,famatina,5751,5712,5674,5641,5608,5575,5544,5513
46056,general angel vera penaloza,3183,3185,3187,3188,3191,3193,3195,3197
46063,general belgrano,7911,7951,7993,8033,8075,8115,8155,8194
46070,general juan f quiroga,3900,3857,3819,3777,3736,3702,3668,3634
46077,general lamadrid,1833,1839,1846,1851,1857,1864,1869,1875
46084,general ocampo,7244,7228,7213,7197,7182,7166,7152,7136
46091,general san martin,5176,5188,5198,5208,5220,5230,5240,5250
46105,independencia,2568,2576,2587,2596,2604,2614,2623,2632
46112,rosario vera penaloza,15383,15501,15619,15736,15852,15967,16081,16193
46119,san blas de los sauces,3930,3914,3899,3884,3869,3854,3840,3826
46126,sanagasta,2613,2639,2665,2691,2716,2741,2765,2790
46098,vinchina,2775,2770,2765,2759,2753,2746,2741,2736
